[0:00:12] ちくお: っわこらだ
[0:06:24] kiminonamo: よかったねぇ
[0:06:24] PEI_OwO_: やったー！
[0:06:24] tokotto: cr効果
[0:06:25] rawalpi: あぺ？
[0:06:25] あずまっくす: radaoWakotu
[0:06:25] na_narunru: アペ？
[0:06:26] koukoukoy: わこらだ！おめでとう！
[0:06:26] kureemuobasan2142: 腕組むな
[0:06:26] rui_sk39: よいしょ
[0:06:26] mizyu26: mod見つけてきた？
[0:06:27] kiba_1129: 尚ママリス0人
[0:06:27] pipipi334: 浸るだけ配信
[0:06:27] ふーら: あぺ？
[0:06:27] はるきち02: 20万人いったから毎日配信してくれ
[0:06:28] kino_0812: あぺやろ
[0:06:28] s_i_i_a: おめ
[0:06:28] tunatubaki: おめでとー！
[0:06:28] hitorinbo_0605: アペ練習
[0:06:28] 20070217_: なにするぅー？
[0:06:28] ここねり: あぺ？
[0:06:29] 8分19秒: だからこそのくそコメントもふえる
[0:06:29] escargot0331: escargot0331 subscribed with Prime. They've subscribed for 5 months, currently on a 2 month streak! 20万人おめ🎉
[0:06:30] ミラティブ: ***やってほし
[0:06:30] ayunosioyaki0223: アペ練する？
[0:06:31] しかくのさんかく: おおお
[0:06:31] ぎょろっとみかん: お
[0:06:31] zinbee114514: 🍎
[0:06:32] tera_takan: あぺ
[0:06:32] kurau___: やたー
[0:06:32] shinr91: valorantみたい
[0:06:32] ta_tago: やったー
[0:06:32] はんなりパン: 実写であぺ？
[0:06:32] enpt___qmq: あぺ？
[0:06:33] kureemuobasan2142: おけ
[0:06:33] esuteru_03: あぺ？
[0:06:33] meg_rita: やた
[0:06:33] nekomaccha: なにするんー？
[0:06:34] kinon00: ゔぁろ？？？？？？？
[0:06:34] ディンダン: お
[0:06:34] たほ: やったぜ
[0:06:34] kalpiswota: かわせさんなんか言ってたよね
[0:06:34] yuna_aaaaaaaaa: おお
[0:06:34] hatiti88: あぺじゃろ
[0:06:34] jasmugi: お
[0:06:34] PEI_OwO_: おおお
[0:06:34] いずえいと: あぺ？
[0:06:34] shi_n_tou: てか明後日だよね？
[0:06:34] ogaoga7815: おおお
[0:06:34] かがりごまだれ: 何やるんだい？
[0:06:35] きのお: あぺ？
[0:06:35] tsuM6G1_: お
[0:06:35] カズの子だよ: エペ練
[0:06:35] poru1010: あぺ
[0:06:35] ゆきとよ: お
[0:06:35] ドコサヘキサエン: お
[0:06:35] riin_2020: あぺ？
[0:06:36] 伊丙カオル: あぺは？
[0:06:36] kappon23: おお
[0:06:36] yona_0724: やたー
[0:06:36] shinr91: valorant
[0:06:36] くろばり: おっめぇ
[0:06:36] ichigomilk_252: お
[0:06:36] paseri_tabero: kurohamu05 subscribed at Tier 1. They've subscribed for 7 months, currently on a 6 month streak! 
[0:06:36] kulage0309: わこらだ20万おめ
[0:06:36] a_kyasu: おお
[0:06:36] Mini_ken2131: お
[0:06:36] peace3511: わこらだ
[0:06:36] ayunosioyaki0223: おー
[0:06:36] r0_0Ru_ruru: おお
[0:06:36] kankitukeijyosi: 大きくなりやがって、、、
[0:06:36] nao_naon: ドッジ
[0:06:37] dokokara_dokomade: おー
[0:06:37] ame_ume: あぺ？
[0:06:37] rokunome: やったー
[0:06:37] kurau___: がんばっえ
[0:06:38] junjun_911: 巨漢あぺ？
[0:06:38] kappon23: 楽しみ
[0:06:38] michio0106: ドッヂボールから逃げるな
[0:06:38] tukuyomi513: お
[0:06:38] tommyy_0430: あぺ？
[0:06:39] chura6666: おめでとう〜〜〜〜〜！！！！！
[0:06:39] shige__maru: お
[0:06:39] tomo__04: やたー
[0:06:39] アストモ: APEX？
[0:06:39] marimoko6231: お！
[0:06:39] ルヲフ: おめでとう
[0:06:39] kiminonamo: お
[0:06:39] nobume0v0: アペ練しないとやばくない？
[0:06:39] 福茶丸: 大会近いよね
[0:06:39] sugikafunn: お
[0:06:40] runa_xx1023: やたーー！
[0:06:40] shi_n_tou: やった
[0:06:40] みつおうぎ: 立派なアペ配信者だね
[0:06:40] owlf_edamame: あぺいいね
[0:06:40] loupe_5385: あぺやってあぺやってあぺやる？
[0:06:41] oo1016: アペってもいいのよ
[0:06:41] sonopiti: わこらだ
[0:06:41] wasurete_shimae: ごっこでもやるか〜
[0:06:41] らるとす_99: 大会あるしね
[0:06:41] れいおん_: わこらだ
[0:06:41] enpt___qmq: お
[0:06:41] t4ni_yuu: (￣0￣)/ ｵｫｰ!!
[0:06:42] monokulo_: お
[0:06:42] toubun__: 今日カスタムでないの？
[0:06:42] kopepe_: わこらだおめ
[0:06:42] creamwarabi: radaoNannan なんなん！
[0:06:42] ta_tago: お
[0:06:42] hururun86: がんばえー
[0:06:42] Nightbot: らっだぁ切り抜きチャンネルはこちら→https://www.youtube.com/channel/UCh-qC7-Ru8a54apFdHnASsA/
[0:06:43] EBImaru_0098: 手元？
[0:06:43] rin_0505: 巨漢は？
[0:06:43] skz46_: マイクラ？
[0:06:43] ruu_ha: 大会あるからな
[0:06:43] taito001: 巨漢？
[0:06:43] winwindows01: アペしよ
[0:06:44] mikan_san: あぺは明後日だからね
[0:06:44] ドコサヘキサエン: そうだねがんばれ
[0:06:44] dokokara_dokomade: そうね
[0:06:44] ささざら: 久しぶりにみみず
[0:06:44] 鉛筆びー: お
[0:06:44] amara_2401: あぺ……
[0:06:44] PEI_OwO_: 大会だもんね
[0:06:45] あなりーぺに: ドッヂボール飽きた？
[0:06:45] goodfriends02: お
[0:06:46] kotehan31415: 逆凸やらんの？
[0:06:46] ディンダン: おお
[0:06:46] わかめご飯: お
[0:06:46] tsuM6G1_: いいね
[0:06:46] atuono: 巨漢はなし？
[0:06:46] ﾏﾛ: Cheer5000 わこらだ！20万人おめ👏👏👏
[0:06:46] kainn_1114: おー
[0:06:46] yugamiru187: 大会あるんだろ？
[0:06:46] ごり之すけ: 練習しないとね
[0:06:46] nasu_nonasu: いいね
[0:06:46] kappon23: いいねえ
[0:06:46] pichu_0412: すぷら？
[0:06:47] dia11313: アペしかねぇだろ
[0:06:47] さらんらん: いいね
[0:06:47] creamwarabi: radaoNannan radaoNannan radaoNannan radaoNannan
[0:06:47] ふれーく: それはしゃーない
[0:06:47] バナナチ: ドッチみたいなぁ
[0:06:47] ツキミコ: 大会あるもんね...
[0:06:47] s_i_i_a: あぺたすかる
[0:06:48] tomo_spl: 今北！おめでとう！！
[0:06:48] wasurete_shimae: きた
[0:06:48] riin_2020: お
[0:06:48] ツキ猫: ツキ猫 is gifting 10 Tier 1 Subs to らっだぁ's community! They've gifted a total of 10 in the channel! 
[0:06:48] kurau___: あー
[0:06:48] 紅茶まみれ: お掃除する？？？
[0:06:48] ta_tago: 一人で出ないの？
[0:06:48] kikibellf: 顔だしありがとうございます
[0:06:48] tommyy_0430: おやすみ配信？
[0:06:48] _こっぺぱん: へー
[0:06:48] runa_xx1023: あら
[0:06:48] nekomaccha: あぺ??
[0:06:49] とんかつどん3: valorant
[0:06:49] ツキ猫: ツキ猫 gifted a Tier 1 sub to 0820mairingo! 
[0:06:49] ツキ猫: ツキ猫 gifted a Tier 1 sub to むとちゃん! 
[0:06:49] encry_02: じっーしゃ、じっーしゃ
[0:06:49] ツキ猫: ツキ猫 gifted a Tier 1 sub to dagaxa4! 
[0:06:49] ツキ猫: ツキ猫 gifted a Tier 1 sub to oyasai_! 
[0:06:49] ツキ猫: ツキ猫 gifted a Tier 1 sub to うたげ! 
[0:06:49] ツキ猫: ツキ猫 gifted a Tier 1 sub to kome0310! 
[0:06:49] ツキ猫: ツキ猫 gifted a Tier 1 sub to aira03! 
[0:06:49] esuteru_03: いぇぇい！
[0:06:49] ツキ猫: ツキ猫 gifted a Tier 1 sub to ai_37210! 
[0:06:50] ツキ猫: ツキ猫 gifted a Tier 1 sub to ko__hina_! 
[0:06:50] ツキ猫: ツキ猫 gifted a Tier 1 sub to ic_moon! 
[0:06:50] 腱鞘炎パスタ: 明後日やんけ
[0:06:50] ドコサヘキサエン: あら
[0:06:51] creamwarabi: RitzMitz RitzMitz RitzMitz RitzMitz RitzMitz
[0:06:51] 伊丙カオル: ありゃ
[0:06:51] ぱんだぁぁぁ: おおー
[0:06:51] mmoonneeoo: ありゃー
[0:06:52] venawy: 大会ぶっつけ本番なんだってね
[0:06:53] 紗弥0926: ありゃ
[0:06:53] peroki0531: ほんとだったらスクリムだもんな
[0:06:53] oo1016: まぁ好きにやっていきな
[0:06:53] mikankan693: めっちゃテンション高いやんけ
[0:06:53] creamwarabi: radaoNannan radaoNannan radaoNannan radaoNannan radaoNannan
[0:06:53] あらんえむかーびぃ: ｗｗ
[0:06:53] yuity_: ソロカスタムいこw
[0:06:54] toki_ra: apexひとりでカスタムでろ
[0:06:54] しかくのさんかく: wwww
[0:06:54] jasmugi: ｗｗｗｗ
[0:06:54] odeko00: odeko00 subscribed at Tier 1. They've subscribed for 21 months! おめ
[0:06:54] zomukyo_i: あぺる？
[0:06:54] ruchi_13: ぶっつけ本番頑張って
[0:06:54] tsuM6G1_: がんばえー
[0:06:54] かがりごまだれ: かんばえ
[0:06:54] runa_xx1023: WWWWWWWWWWWW
[0:06:54] カズの子だよ: 近いなー
[0:06:54] tamatama525: スクリムでるの？
[0:06:54] ichigomilk_252: せやな
[0:06:55] yona_0724: wwww
[0:06:55] かみまろ: おぉー
[0:06:55] subaru_41: radaoKonro radaoKonro radaoKonro radaoKonro radaoKonro
[0:06:55] らるとす_99: っw
[0:06:55] c_kuma76: ありゃ
[0:06:55] himasugiruhito: www
[0:06:55] sugikafunn: もう明後日だっけ？
[0:06:55] esuteru_03: 明後日なのか！！！
[0:06:55] namazuuun_: いいね
[0:06:56] ゆきとよ: ｗｗｗ
[0:06:56] nattu__: 一人でランドマーク取ってこい
[0:06:56] ごり之すけ: 1人で乗り込めばw
[0:06:56] skz46_: わこらだグッズとどいたよぉー
[0:06:56] pipipi334: ドッジボールの魅力教えて
[0:06:56] ruan_mt9: OWやる？
[0:06:56] kappon23: がんばれ！！！！！
[0:06:56] goodfriends02: 頑張れよ
[0:06:56] rui_sk39: ww
[0:06:57] ta_tago: www
[0:06:57] sjindoa: wwwwww
[0:06:57] shi_n_tou: radaoWakotu
[0:06:57] kureemuobasan2142: おお
[0:06:57] ミラティブ: スリザリオやってほしいなぁ
[0:06:57] meg_rita: 忙しいなぁw
[0:06:57] 雪華0830: わこらだー
[0:06:58] dt_apa: ノックアウトシティは？
[0:06:58] 福茶丸: 巨漢楽しみ！！！
[0:06:58] _こっぺぱん: wwww
[0:06:58] kankitukeijyosi: あぺか
[0:06:58] わかめご飯: あぺ練はして
[0:06:58] Oriml1_zemm27: wwww
[0:06:58] kuuuuuuuuchan: wwww
[0:06:58] ねぎカレー: radaoOkane radaoOkane radaoOkane radaoOkane radaoOkane
[0:06:58] daizu___mame: やばやん
[0:06:58] 燐だよ: wwwwww
[0:06:59] dokokara_dokomade: wwww
[0:06:59] PEI_OwO_: radaoSekiyu radaoSekiyu radaoSekiyu
[0:06:59] 鏡神: 巨漢復活やでな
[0:06:59] 太陽3: 大会あるしね
[0:06:59] みずいろか: wwww
[0:06:59] abokadooisii666: きょかくらいつ？
[0:06:59] nekomaccha: 頑張れよん!!!
[0:06:59] すいぺりあ: ぶっつけだもんね
[0:06:59] kijinrin: ソロで行けよ()
[0:06:59] kiminonamo: www
[0:07:00] yugamiru187: 巨漢で出るんだろ
[0:07:00] 梨一: wwwww
[0:07:00] 星空くん: それぞれコラボ中だっけ？
[0:07:00] r0_0Ru_ruru: ｗｗｗｗ
[0:07:00] えびとまと: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:00] mikan_san: uuum
[0:07:00] roy_rag: ぼっちでのりこも
[0:07:00] sugikafunn: www
[0:07:01] rafalec2013: ソロでいこ
[0:07:01] gorigori_kun: YouTube100万で金盾をツイッチで開封配信してほしい
[0:07:02] mochimochiku: radaoSekiyu radaoSekiyu
[0:07:02] ぎょろっとみかん: かわすみてぇてぇしてる
[0:07:02] FU_U03: ww
[0:07:02] ディンダン: そやったね
[0:07:02] 6choco2: おめでと
[0:07:02] ゆう77: radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:02] まりもころころ: radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:02] kankitukeijyosi: おおお
[0:07:02] kabinohaetamoti: ソロ参加？
[0:07:02] すぃま: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:03] iononrada: ソロカスタムいこ
[0:07:03] huku_mm0v0: www
[0:07:03] とっとこみんたろう: ＯＷ?
[0:07:03] atuono: あらま
[0:07:04] a_kyasu: www
[0:07:04] ruu_ha: www
[0:07:04] goodfriends02: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:04] きのお: あら
[0:07:04] ぐれぶる: OWはいいぞ
[0:07:04] かみまろ: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:04] ruchi_13: wwwwww
[0:07:05] しかくのさんかく: しゃーないねｗ
[0:07:05] rinne1221: www
[0:07:05] mmoonneeoo: OWしながらあぺしろ
[0:07:05] 紅茶まみれ: お
[0:07:05] radodo26: カスタム1人で出れないの？
[0:07:05] mpru: えっ
[0:07:05] monokulo_: ソロ？
[0:07:05] くりすぴーぴざ: 20万人おめでとうございます🎉🎊 Cheer1000
[0:07:05] pochi_po: 忙しいね
[0:07:06] yossii63: ソロで乗り込も
[0:07:06] soumen652: スクリムなしってマジ？
[0:07:06] たるたるたると: ｗｗｗｗｗｗｗ
[0:07:07] 前髪が長い: 先約は仕方ないよね
[0:07:07] ayunosioyaki0223: やばwww,
[0:07:07] ぎょろっとみかん: wwwwwww
[0:07:07] みつおうぎ: らだお１人のほうが嬉しいよ
[0:07:07] nasu_nonasu: ソロ凸
[0:07:07] みどふぃ: wwwww
[0:07:07] aoisorazora: カスタム大丈夫？
[0:07:07] カズの子だよ: ええぇ…
[0:07:07] ten_nen_sui_: ふぁいとー
[0:07:07] koniro_: あり
[0:07:07] ピポ助: お絵描き伝言とかみたいな
[0:07:07] ディンダン: radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:07] ねぎカレー: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:07] dia11313: 乗り込む？
[0:07:08] wasurete_shimae: 振られたな
[0:07:08] pirokasugg: www
[0:07:08] aro_2111: w
[0:07:08] 蛍_: 紅白楽しみだ
[0:07:08] arasin2157: wwwww
[0:07:08] ひのした: wwwww
[0:07:08] amaebi____: あー
[0:07:08] yu_ai89: radaoSekiyu radaoSekiyu
[0:07:08] n_paa: oh…w
[0:07:08] oootyao: ww
[0:07:08] のこ汰: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:08] 檜山尚人: APEXが仕事みたいになってきたね
[0:07:08] goodfriends02: www
[0:07:09] nehar_maki: アグレッシブやな
[0:07:09] loupe_5385: ソロスクリムいかないんですか！？
[0:07:09] yuzu0331: wwwwww
[0:07:09] nobume0v0: しゃーなしw
[0:07:09] s_i_i_a: なんでよww
[0:07:09] mikuru_minto75: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:09] _ほたる_: wwww
[0:07:09] あずまっくす: いつ練習するん？
[0:07:09] pichu_0412: スマブラは？
[0:07:09] kabutogani290: 応援してるゾォ
[0:07:09] toki_ra: 一人でカスタム行け
[0:07:09] hururun86: 浮気？
[0:07:09] ichigomilk_252: wwwwww
[0:07:09] はるきち02: uuum
[0:07:10] esuteru_03: 忙しいねぇ
[0:07:10] meg_rita: おばうぉ......
[0:07:10] 週末_: そっちがさきやからしゃーなし
[0:07:10] shige__maru: wwww
[0:07:10] ruchi_13: 仕方ないよw
[0:07:10] ドロッと食感: ソロでカスタム参加したら？
[0:07:10] kyouka_ky: wwwwww
[0:07:11] お湯割り: wwwww
[0:07:11] pu_tyan: www
[0:07:11] yua0027: 明日たのしみ
[0:07:11] そおお: ひとリで出るかカスタム
[0:07:11] miimii1225: ぼっち
[0:07:11] amaebi____: wwwwww
[0:07:11] Suima2525: www
[0:07:11] スペルタン: 仕方ない
[0:07:11] kankitukeijyosi: ありゃ
[0:07:12] らるとす_99: 誰かとするの?
[0:07:12] tomo_spl: 忙しいなー
[0:07:12] yossii63: 乗り込みに行こ
[0:07:12] 佐藤太郎のちゃんねる: あらw
[0:07:12] runa_xx1023: 今日もらっだぁの声聞けてよかった
[0:07:12] かがりごまだれ: 忙しいね、うん
[0:07:13] shinichan227: owなんてやってる場合かよ
[0:07:13] kalpiswota: 逃げたらダメだからね
[0:07:13] mpru: 分身しろ
[0:07:13] inasaku1739: ヒカキンさん→ギアさん→らったぁ
[0:07:13] lara_3o: wwwww
[0:07:13] aiueo52780: wwww
[0:07:13] mokumoku1126: みんな忙しいもんね
[0:07:14] ディンダン: 合わなすぎて笑う
[0:07:14] しなやかしょうゆ: しゃーなしw
[0:07:14] ぱんだぁぁぁ: wwwwww
[0:07:14] mokkii11: ぶっつけ本番じゃーん
[0:07:14] ドコサヘキサエン: 巨漢忙しいね
[0:07:14] mimitabu_92: wwww
[0:07:15] ゆきとよ: そうわね
[0:07:15] kiminonamo: 忙しないね
[0:07:15] ayunosioyaki0223: wwwwwww
[0:07:15] mira_889: 1人でカスタムでよ
[0:07:15] yutsunu: なめくさってんな
[0:07:15] めろぅ: オバウォきちゃ！！
[0:07:15] yasino1504: 20万人おめでとうございます👏👏
[0:07:15] mikan_san: 感覚狂わんの？それw
[0:07:15] すいぺりあ: 約束はしょうがないよ
[0:07:15] kurau___: しかたないね
[0:07:15] deeno_vl: カスタムソロでいこ
[0:07:16] subaru_41: radaoKonro radaoKonro radaoKonro radaoKonro radaoKonro radaoKonro radaoKonro radaoKonro radaoKonro radaoKonro radaoKonro radaoKonro radaoKonro radaoKonro radaoKonro
[0:07:16] tokotto: しゃーなし
[0:07:16] atuono: ちょうど揃わんやん
[0:07:16] Miriotta: www
[0:07:16] medo_710: カジュアルだしね
[0:07:16] 太陽3: 草
[0:07:16] iononrada: ソロで乗り込も
[0:07:16] _こっぺぱん: マクリーでウィングマンの練習
[0:07:17] masao0203: wwwwww
[0:07:17] こまし: しかたない
[0:07:17] anp01008: ふざけとる
[0:07:17] shi_n_tou: 明後日の言い訳決まった？
[0:07:17] sosko3260: ｵﾊﾞｳｫ嬉しい
[0:07:17] yakuza_isi894: ソロカスタムはエグいてぇー
[0:07:18] rekuron379: www
[0:07:18] nyoiiinsan: わこらだ！おめでとう🎉
[0:07:18] aoisorazora: 明日楽しみ！！
[0:07:18] ねねねい: しゃーないこれは
[0:07:18] kuri_1112: お前ももう陽キャだな…
[0:07:18] ichigomilk_252: 忙し
[0:07:18] dokokara_dokomade: まぁしゃーない
[0:07:18] meg_rita: しゃーないね
[0:07:19] nattu__: ランドマークどうするの？
[0:07:19] kino_0812: そうわね
[0:07:19] t4ni_yuu: レペル上がるのはや
[0:07:19] 8分19秒: 舐めプですか？
[0:07:19] mimitabu_92: しゃーなし
[0:07:19] dia11313: wwwwwwwwww
[0:07:19] strawberry_7_2: wwww
[0:07:19] ゆのちゃ: ゆのちゃ subscribed at Tier 1. They've subscribed for 22 months! 
[0:07:19] tamatama525: ランドマーク大変じゃん
[0:07:19] えびとまと: 忙しいねえ
[0:07:20] 伊丙カオル: 忙しいね
[0:07:20] もんじゃ焼きたべたい: 昨日友達にらだお勧めたらマイクラも、青鬼も知らんかったわwww
[0:07:20] 太陽3: wwwwww
[0:07:20] kuuhaku417: wwwwwww
[0:07:20] ずつうがいたい: まじかww
[0:07:20] yugamiru187: ぶっつけ本番でしょ？
[0:07:21] ひのした: もう無理だw
[0:07:21] 檜山尚人: www
[0:07:21] kabutogani290: 忙しいなｗ
[0:07:21] のこ汰: wwwww
[0:07:21] たほ: しゃーない
[0:07:21] tomo__04: おば
[0:07:22] PEI_OwO_: まぁしゃーないね
[0:07:22] winwindows01: www
[0:07:22] tunatubaki: 忙しいんだね
[0:07:23] kelutan_1128: 予定ぎゅうぎゅうだな
[0:07:23] oootyao: しゃーなしw
[0:07:23] はむおくん: 絶対コメントくるよ
[0:07:23] もねねん: うれしい
[0:07:23] yona_0724: メンツまだ公表してないよね
[0:07:23] hi_oyu: 一人でカチコミ行って
[0:07:23] enu_xo: 忙しいね
[0:07:24] ふぁじぃ: 巨漢ならいけるよ
[0:07:24] owlf_edamame: 頑張れー
[0:07:24] yossii63: ランドマークどうすんの？
[0:07:25] riajuboon: ぶっつけ本番ってことか
[0:07:25] atuono: 朝やるしかない！？
[0:07:26] マカライト: モヤモヤしながら楽しんでこい
[0:07:26] a_kyasu: 忙しいなw
[0:07:26] 佐藤太郎のちゃんねる: しゃーなし
[0:07:26] わらびモち: 全員での練習はない、とw
[0:07:27] カズの子だよ: アペ連しなさいな…
[0:07:27] chuwann: ソロで乗り込むか
[0:07:27] 蛍_: 誰に誘われたん？
[0:07:27] いずえいと: ソロ行こ
[0:07:28] kino_0812: 引っ張りだこらだ
[0:07:28] kend5656: 仕方ない
[0:07:28] ruchi_13: カジュアル大会やから
[0:07:28] mmoonneeoo: 両方同時にこなせば大丈夫だよ
[0:07:28] toma_neko: そうね
[0:07:28] ひのめ: 忙しいわね
[0:07:29] ボンレスブス: 1人でランドマーク取りに行こ
[0:07:29] tantana03: わこらだ
[0:07:30] oo1016: 急に決まったもんな
[0:07:30] たるたるたると: メンバー前回と一緒？
[0:07:30] 神威という者: メンバーひいっしょ？
[0:07:30] tommyy_0430: がんばれ！
[0:07:30] ringo_ame_0141: しゃーなし
[0:07:31] きのお: 当日挑むの凄い
[0:07:31] kalpiswota: 優勝したらおもろい
[0:07:31] sakiritu: 楽しそうなMOD来てたからマイクラしよな
[0:07:31] yossii63: ランドマーク決めらんないじゃん
[0:07:31] daifukt: しゃーなし
[0:07:32] ぱたりろ: 二人で練習してるよ💦
[0:07:32] peroki0531: だれだろ
[0:07:32] ta_tago: しゃーなし
[0:07:32] かがりごまだれ: 言い訳マンション建築するかい
[0:07:33] ゆきゆた: 忙しいわね
[0:07:34] rina_1113: 草wwwww
[0:07:34] koronn1101: 昼練だよなぁ！
[0:07:34] itumi434: せやな
[0:07:34] ゆかりんりん: わこらだ！！！
[0:07:34] ten154: ten154 subscribed with Prime. They've subscribed for 3 months! わこらだ
[0:07:34] もねねん: 全部楽しみにしてる
[0:07:35] もっちにあ: ランドマークとかどうなるの？
[0:07:35] こしつぶ: 先約だからしゃーなし
[0:07:35] 紗弥0926: 練習無しか
[0:07:35] まここま: まここま is gifting 10 Tier 1 Subs to らっだぁ's community! They've gifted a total of 10 in the channel! 
[0:07:35] _ほたる_: 嬉しい悲鳴だね
[0:07:36] kiba_1129: らだおは個人だからコラボ以外忙しくないもんな
[0:07:36] kankitukeijyosi: ワチャワチャやな
[0:07:36] まここま: まここま gifted a Tier 1 sub to Mavisopus! 
[0:07:36] まここま: まここま gifted a Tier 1 sub to Ozatsuma! 
[0:07:36] まここま: まここま gifted a Tier 1 sub to Massyuuuu! 
[0:07:36] enu_xo: がんばってね
[0:07:36] まここま: まここま gifted a Tier 1 sub to yuki_____1121! 
[0:07:36] まここま: まここま gifted a Tier 1 sub to r_smdwf! 
[0:07:36] まここま: まここま gifted a Tier 1 sub to otonatu! 
[0:07:36] まここま: まここま gifted a Tier 1 sub to うかな! 
[0:07:37] まここま: まここま gifted a Tier 1 sub to ﾍｯｸｼｭﾝ! 
[0:07:37] まここま: まここま gifted a Tier 1 sub to ruruchanxx! 
[0:07:37] まここま: まここま gifted a Tier 1 sub to sasadango_! 
[0:07:37] わかめご飯: 誰とやるん？
[0:07:37] ame_ume: しゃーなし
[0:07:37] 8分19秒: 同時にどっちもやれ
[0:07:37] Miriotta: しゃーなし
[0:07:38] nobume0v0: ソロでカスタム行こうぜ
[0:07:38] iononrada: ソロいこ
[0:07:38] hururun86: らっでぃ人気者だからしゃーないよ
[0:07:39] よーーひ: ランドマーク取りで一人でいかん？
[0:07:39] radodo26: ソロカスタムいけぇ
[0:07:39] しかくのさんかく: ぜったいくる
[0:07:39] pichu_0412: 余裕のOW
[0:07:39] ﾏﾛ: maroon1223 is gifting 10 Tier 1 Subs to らっだぁ's community! They've gifted a total of 279 in the channel! 
[0:07:40] みみと: しゃーなし
[0:07:40] ミラティブ: radaoIiwake
[0:07:40] えびとまと: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:40] カズの子だよ: なら明日はオールで色々やろう
[0:07:40] hatiti88: 片手ずつやろ
[0:07:41] ﾏﾛ: maroon1223 gifted a Tier 1 sub to bolo_egg! 
[0:07:41] ゆきゆた: いいよ
[0:07:41] ﾏﾛ: maroon1223 gifted a Tier 1 sub to noonmoon521! 
[0:07:41] ﾏﾛ: maroon1223 gifted a Tier 1 sub to osashimin! 
[0:07:41] ﾏﾛ: maroon1223 gifted a Tier 1 sub to ばは! 
[0:07:41] ﾏﾛ: maroon1223 gifted a Tier 1 sub to あやさきぃ! 
[0:07:41] ﾏﾛ: maroon1223 gifted a Tier 1 sub to numenumm! 
[0:07:41] ﾏﾛ: maroon1223 gifted a Tier 1 sub to taku2253150! 
[0:07:41] ﾏﾛ: maroon1223 gifted a Tier 1 sub to yukaru0120! 
[0:07:41] mokkii11: エンジョイだしね！
[0:07:41] kurokuroeroe: オーバーウォッチでエイム合わせ
[0:07:41] ﾏﾛ: maroon1223 gifted a Tier 1 sub to rinnnatu0223! 
[0:07:41] ﾏﾛ: maroon1223 gifted a Tier 1 sub to sitorin5024! 
[0:07:42] ねねねい: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:42] gonnchan: えらい！
[0:07:42] kiminonamo: しゃーなし
[0:07:42] pipipi334: らっだぁって社交的な陰キャ？
[0:07:42] ゆう77: radaoSekiyu radaoSekiyu
[0:07:43] ここねり: そういえばグッズ届いたよ
[0:07:43] はんなりパン: 先約だもんね
[0:07:44] ｸﾛｲ: radaoOkane radaoOkane radaoOkane
[0:07:44] soumen652: 明日ソロで行こうぜ
[0:07:45] mina_0607: わこらだ
[0:07:45] yuna_aaaaaaaaa: せきゆおー
[0:07:45] taito001: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:45] 週末_: そのコメントはうざい
[0:07:46] hi_oyu: radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:46] oo1016: ランドマーク調べとけな
[0:07:46] PEI_OwO_: radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:46] らるとす_99: しゃーなし
[0:07:46] sogashi1232: ソロ行こ
[0:07:46] runa_xx1023: すーちゃん言ってそうボイチャで言ってきそう
[0:07:46] 12akina16: 忙しいわね
[0:07:46] ここねり: radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:47] riria0814: しゃーないね
[0:07:47] えびちぃ: 大富豪さん!?
[0:07:47] ta_tago: radaoIiwake radaoMansyon
[0:07:47] shige__maru: radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:48] _ほたる_: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:48] ドゥルカマラ: わーい
[0:07:49] wassann1118: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:49] nashu_noike: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:49] anp01008: ぶっつけ本番じゃん！
[0:07:49] ココっぺ: radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:49] mikuru_minto75: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
[0:07:49] mochimochiku: radaoSekiyu radaoSekiyu radaoSekiyu radaoSekiyu
