[0:00:05] むとちゃん: わこら
[0:21:23] yjusn114514: あすたろさんも女の子なんだよ
[0:21:25] アスかル: なにこれ
[0:21:27] Loutlot: 顔いらないわ
[0:21:28] itonemushi: てんてー？
[0:21:28] いこまき: てんてー
[0:21:29] akikangg: ？
[0:21:30] totasu9: 投げ銭？
[0:21:31] mirumachan: びっくりした
[0:21:31] mugnum0109new: まきちゃんなんか変わってて草
[0:21:32] ピサロナイト: ろーてんてーやん
[0:21:33] itonemushi: 草
[0:21:35] まっちゃくんん: ろーてんてーお久やな
[0:21:36] わ29: なにが
[0:21:37] meruizu: てんてーや
[0:21:38] hr_nr1n: ろーてんてーー！！
[0:21:41] わ29: あー
[0:21:41] yanshi0913: なにそれ？
[0:21:43] mugnum0109new: ろーてんてーか
[0:21:52] わ29: ＪＫ死んだぞ
[0:21:56] naacha_3106: てんてーギターすき
[0:21:57] Aqution: いらね
[0:21:58] yozakusa: 草
[0:21:59] まっちゃくんん: 草
[0:21:59] 0_Shiina: 草
[0:21:59] mugnum0109new: 草
[0:22:00] ariesusan: え
[0:22:00] mgapdu: うわ
[0:22:00] Yuu6210_blue: 草
[0:22:00] mikaduki110mh: これは本気でいらない
[0:22:00] ポフロン: 草
[0:22:01] muru1113: きも
[0:22:01] まみゃ: いらなさがスゴイ
[0:22:01] Loutlot: cheer100
[0:22:01] kanae001: いらない
[0:22:01] syuguru0913: こy
[0:22:02] usa051: 何故それにした
[0:22:02] orange3kp: 草
[0:22:02] teto_gbf: いらない
[0:22:02] meruizu: 草
[0:22:02] akuruhi: 草
[0:22:02] yotuba0428: 草
[0:22:02] sugto: 草
[0:22:02] totasu9: いらない
[0:22:03] MitoolsworD: イくな
[0:22:03] haduki_09: いらんやろこれ
[0:22:03] いこまき: 自画像かよおい
[0:22:03] arukuHOMOGODzilla810: 草
[0:22:03] kizi_c: もっとでかくしろ
[0:22:03] naacha_3106: 草
[0:22:04] でどすた: きっも
[0:22:04] 空き缶222: 草しか生え
[0:22:04] itonemushi: 草草の草
[0:22:04] 華礫: 草、すき
[0:22:05] KE8190: 草
[0:22:05] aya_2525_Spla: 草
[0:22:06] nikkorikun: いらな
[0:22:06] hr_nr1n: 草
[0:22:06] obanatti: 草
[0:22:08] amakki: radernokaoJoshima
[0:22:08] akikangg: イケメソやん
[0:22:08] Loutlot: いらなさすぎる
[0:22:08] わ29: きｍい
[0:22:08] yjusn114514: いらない
[0:22:09] 55ship: 素人は黙っとれ
[0:22:12] gear5_nika: 草
[0:22:15] くさはら: 草
[0:22:15] mirumachan: かわいい（某
[0:22:16] usa051: そのうち顔出しか？
[0:22:17] ペりー: いらな
[0:22:17] dante56565: 素人は黙ってろってことやな
[0:22:19] アスかル: イケ……草
[0:22:21] yamorisan: 汚い
[0:22:21] kensho_nogi: ウィルスが入り込んだと思ったよ
[0:22:23] hr_nr1n: どんだけ自分の顔好きなん？
[0:22:26] yanshi0913: ぶっさ
[0:22:26] takoyaki_0911: お前はいらんってことやな
[0:22:28] ryuua1013: SSSsss
[0:22:29] MitoolsworD: お前の顔を受け付けない
[0:22:34] tositosi1011: おぶつ
[0:22:34] yjusn114514: 気持ちが悪い、不快な気分になるからやめて
[0:22:34] Loutlot: でなくてよかった
[0:22:34] ドラ男: BigPhish BigPhish BigPhish
[0:22:35] totasu9: しなくていいよ
[0:22:42] asaoka2016: 今日小さい子がミッキーになりたいって言っててむなしくなった
[0:22:43] nikkorikun: なんでなん中に映すの？
[0:22:43] わ29: 玄人はだまれしｎ
[0:22:47] itonemushi: なんでってお前もわかってるだろ
[0:23:02] Yuu6210_blue: かわいくはない
[0:23:03] 0_Shiina: は？
[0:23:04] yozakusa: 草
[0:23:05] まっちゃくんん: ？・。・？
[0:23:05] ariesusan: え
[0:23:07] teto_gbf: ？
[0:23:07] nikkorikun: ？
[0:23:07] 空き缶222: 草
[0:23:09] usa051: マサイみたい
[0:23:09] haduki_09: いやや
[0:23:10] yotuba0428: ？
[0:23:12] asaoka2016: くさ
[0:23:12] totasu9: ？
[0:23:12] ピサロナイト: 可愛い？Gよりも気色が悪いの間違えだろ
[0:23:12] itonemushi: 草
[0:23:13] 空き缶222: いってるやん
[0:23:14] muru1113: ？？
[0:23:15] mirumachan: 頼むからやめてくれ
[0:23:17] yjusn114514: ？
[0:23:18] アスかル: 飯食べてる人いるから
[0:23:18] asaoka2016: 臭
[0:23:20] ruche51: 草
[0:23:21] nikkorikun: モトキに似てて草
[0:23:21] akikangg: いやドブメンだよ
[0:23:22] kizi_c: ピコンの音変えれんの？
[0:23:24] まっちゃくんん: 背景がTKCHみたい
[0:23:25] Aqution: 右下にしない？w
[0:23:25] 55ship: 賢者タイムみたいだな
[0:23:27] yanshi0913: 吐いてくるわ
[0:23:27] kensho_nogi: やば、画面壊れた
[0:23:33] tositosi1011: skfkぢdksっkxld
[0:23:37] ymyamayama: BigPhish BigPhish
[0:23:39] syuguru0913: 謎が不快？
[0:23:41] yjusn114514: 整形しないの？
[0:23:45] yozakusa: 死んでる…
[0:23:55] dondon3021: Asutaroさんなんで二回死んでるの？
[0:24:00] akikangg: 草
[0:24:01] まっちゃくんん: おつと
[0:24:01] midorokun: この鬼にわかじゃねーか皆殺しにしてやる
[0:24:01] あんぱん1227: のってもならんで？
[0:24:08] nikkorikun: こy
[0:24:10] gear5_nika: 鬼にわかやん
[0:24:10] muru1113: こy
[0:24:10] まっちゃくんん: いいよ、穀せ
[0:24:11] 0_Shiina: こy
[0:24:11] yozakusa: こy
[0:24:12] しまやん: ヒエ～ｗ
[0:24:13] yotuba0428: こy
[0:24:13] orange3kp: こy
[0:24:15] dante56565: にわかなのに鬼をしている・・・！？
[0:24:15] yjusn114514: こy
[0:24:15] ruin666_: こｙ
[0:24:15] meruizu: こy
[0:24:16] syuguru0913: みどりくんこy
[0:24:17] totasu9: やめてあげて;;
[0:24:17] でどすた: こっわ
[0:24:17] ariesusan: こy
[0:24:18] 空き缶222: こy
[0:24:20] 梨一: こｙ
[0:24:20] 5656pandatan: こｙ
[0:24:23] ryuua1013: やってあげて
[0:24:27] sugto: こｙ
[0:24:27] obanatti: こy
[0:24:30] poteito: 鬼は一人だよ
[0:24:36] でどすた: つまり鬼は複数いた？
[0:24:38] arukuHOMOGODzilla810: 皆殺し（困惑
[0:24:42] アスかル: これが炎上の種か
[0:24:45] 0_Shiina: は
[0:24:48] まっちゃくんん: それは妥協
[0:24:50] Aqution: 箱は？
[0:24:52] yjusn114514: は？
[0:24:54] akikangg: 青鬼って穀せるの？
[0:24:56] ryuua1013: 誰とやるの？
[0:24:56] スパルタン: いいのかそれで(՞ةڼ◔)
[0:24:56] nikkorikun: ハイジモードは？
[0:24:57] dante56565: 一応ハードしておけ
[0:25:01] amuru007: 皆殺しって他誰やるの？ねぇねぇねぇねぇねぇ！？
[0:25:01] kizi_c: もし簡単にクリアされたらねえ
[0:25:01] アスかル: コラボで箱は？
[0:25:12] 華礫: コラボ今週か
[0:25:19] kizi_c: コラボって何人くらい？
[0:25:22] わ29: 前回のコラボではやったやん
[0:25:23] スパルタン: １－O
[0:25:28] 5656pandatan: これってテストいるっけ
[0:25:29] Aqution: コラボではなにをするん？
[0:25:29] nikkorikun: ？
[0:25:32] おいよ: 外国語の人んｊしていい？
[0:25:37] でどすた: 一応高校
[0:25:41] akikangg: 何言ってるかわかんない人おるんだけどわいだけ？
[0:25:45] ryuua1013: おけ
[0:25:48] yotuba0428: おk
[0:25:48] amuru007: コラボで脱やれ
[0:25:49] arukuHOMOGODzilla810: おけ
[0:25:57] yozakusa: お、おおおおいよ神こんばんはっす
[0:26:06] muru1113: ロシア？
[0:26:07] まっちゃくんん: ロシア語？
[0:26:08] totasu9: ロシア語？
[0:26:12] dante56565: 入れなくなってマイクラ再起したら埋まってたわ
[0:26:13] takoyaki_0911: 何語？
[0:26:14] aiueoooooonn: ロシアだね
[0:26:16] arukuHOMOGODzilla810: ロシア語ね
[0:26:24] yjusn114514: らっだぁとみさえどっちが可愛い？
[0:26:27] Aqution: 意識高い系IT企業社員
[0:26:27] dante56565: グーグル先生では翻訳できない模様
[0:26:27] 空き缶222: 解読班？
[0:26:29] tositosi1011: 父さんクズ過ぎてうざい
[0:26:31] nikkorikun: ちょいちょいいるおいよさんへの超コミュ障なんなん？w
[0:26:33] 0_Shiina: てんのすけ
[0:26:37] akikangg: コラボで何もしないんクラフトやっとけ
[0:26:43] meronron13: こん
[0:26:44] nikkorikun: もりもりぱんだ
[0:26:53] sugto: 実質ノーマル
[0:26:56] nikkorikun: 揉んでー
[0:27:02] yozakusa: だるいw
[0:27:02] 0_Shiina: だるおー！
[0:27:04] Yuu6210_blue: ダルオｗｗ
[0:27:04] muru1113: だるおｗ
[0:27:04] nikkorikun: だるお！？
[0:27:05] dante56565: 青揉みたい人みたいにいうな
[0:27:06] takoyaki_0911: だろぉ？
[0:27:09] akikangg: だるおー！
[0:27:12] teto_gbf: コラボ相手マイクラ下手なの？
[0:27:25] yozakusa: ドラちゃーん
[0:27:27] obanatti: どらちゃんさん！？
[0:27:31] akikangg: らっだぁよりイケメンのだるお
[0:27:34] hiku0523: しこみ
[0:27:37] 梨一: 仕込みは
[0:27:43] 0_Shiina: 仕込み
[0:27:46] obanatti: しこみー
[0:27:50] takoyaki_0911: 前のだるおの呪いは笑ったわ
[0:27:52] dante56565: ハードだから仕込みないぞ
[0:27:53] arukuHOMOGODzilla810: 仕込み
[0:27:53] hatahata220: ワロチワロチワロチン
[0:27:55] わ29: ２８
[0:27:56] yozakusa: ヒカキン
[0:27:56] totasu9: あのアスレできないってことはそういうことやろ？
[0:27:57] poteito: 誰でもない
[0:27:59] Rain_tan: 28
[0:28:01] nikkorikun: アスレが下手な人
[0:28:03] mirumachan: 一人
[0:28:04] syuguru0913: 72さんがいい。
[0:28:05] yanshi0913: 28
[0:28:06] 0_Shiina: ブンブンの人
[0:28:07] amuru007: おっけ、下手って事だな
[0:28:08] nattoP_: ぺんちゃん
[0:28:08] naacha_3106: どのレベルの人なのか
[0:28:08] arukuHOMOGODzilla810: そーなんや
[0:28:09] sugto: syamu_game
[0:28:09] まっちゃくんん: アスレ下手とか、HAKASE 赤石先生くらいしかわからんのだが
[0:28:09] Aqution: この前その鯖でいっしょに遊んでる人いたよね
[0:28:10] takoyaki_0911: ふうはや
[0:28:11] yanshi0913: 72
[0:28:11] りざーお: しょぼすけ
[0:28:12] yjusn114514: やんばるさん！？
[0:28:14] teto_gbf: みじめしゃちょー
[0:28:15] ebi29: ＫＩＹＯあたり
[0:28:16] でどすた: おまえのコラボ見たことないからわからんよ
[0:28:21] arukuHOMOGODzilla810: syamu_gameは草
[0:28:23] yanshi0913: しばたー
[0:28:34] 0_Shiina: あったぁ
[0:28:35] nikkorikun: イージーモードのアスレクリアできないからアスレ実況者は無いかな？
[0:28:37] dante56565: コ ラ ボ 者 ０ 人
[0:28:39] tositosi1011: ばっかぁ
[0:28:45] itonemushi: あんまりマイクラ動画だしてるような感じやない人か
[0:28:47] maou6840: たいしょう
[0:28:47] skchoco: わいわいさん
[0:28:50] obanatti: ww
[0:28:52] syuguru0913: べいんと！
[0:28:56] akikangg: ふう◯はやかアブマリア
[0:28:58] ピサロナイト: えふやんさんだと思ってたんだが
[0:28:59] yozakusa: みじめしゃちょう
[0:28:59] takoyaki_0911: えふやん
[0:29:01] amuru007: 3またさん
[0:29:03] naacha_3106: マイクラ感あまりない人かな？
[0:29:05] まっちゃくんん: あぁぺいんとは普通にありえるな
[0:29:06] nikkorikun: 答え言わないなら聞くなks
[0:29:06] totasu9: KUN
[0:29:09] arukuHOMOGODzilla810: えふやんはあるな
[0:29:09] でどすた: ぺだよ!!!
[0:29:10] usa051: あえてのらっだぁ
[0:29:11] reollly: loveさんとか？
[0:29:14] obanatti: ふうはや
[0:29:15] arukuHOMOGODzilla810: kunは草
[0:29:15] ryuua1013: 赤髪のとも
[0:29:15] dante56565: あれクリアできないってことはアスレ勢ではない
[0:29:15] teto_gbf: うそやんえふやん？
[0:29:18] 空き缶222: フルぽんTVさん
[0:29:18] kensho_nogi: ドタキャンされんなよ
[0:29:21] takoyaki_0911: 言わないなら穀るぞ
[0:29:22] noroshi136: ぺじゃなくてべだろ
[0:29:26] たぼたぼ2525: 意外とテラゾーさんとかいそう
[0:29:27] あめれう: 言わねえなら聞くなや
[0:29:27] yjusn114514: イキリオタク
[0:29:29] Aqution: どうせgame_with
[0:29:29] akikangg: 家や
[0:29:30] ryuua1013: 赤髪のともアスレチック下手くそやで
[0:29:33] KE8190: ゆーとん
[0:29:34] muru1113: へいんとじゃないの？
[0:29:34] ひのくーら: もるにゃう
[0:29:34] naacha_3106: 赤髪のもと
[0:29:35] arukuHOMOGODzilla810: kun!kun!kun!kun!kun!
[0:29:37] わ29: んーｗ全員ｗｗ
[0:29:48] narunaru555: おｋ
[0:29:51] ariesusan: おk
[0:29:53] 梨一: おｋ
[0:29:56] nattoP_: アスレ出来ない＝赤髪さん
[0:29:56] syuguru0913: 赤髪のたもさん
[0:29:57] ピサロナイト: おｋ
[0:29:58] こマつ: らっだぁ今日っていつまで青鬼ごっこやるん？
[0:29:58] dante56565: わかったDMで広めておくね
[0:29:58] Yuu6210_blue: おｋ
[0:29:59] 空き缶222: おk
[0:29:59] floatingrass: 動画、いつぐらいに出せそうなん？
[0:30:00] ポフロン: おｋ
[0:30:01] まっちゃくんん: 絶対守らないやつおるで、罰はどうすんの？
[0:30:02] takoyaki_0911: おけ
[0:30:02] ピサロナイト: クソガキ注意
[0:30:04] syuguru0913: おk
[0:30:05] 0_Shiina: おけ
[0:30:06] akikangg: てかお前友達とか知り合いいるの？
[0:30:06] yotuba0428: おk
[0:30:07] itonemushi: いう人いそうやなぁ…
[0:30:07] meruizu: おk
[0:30:08] teto_gbf: おｋ
[0:30:08] Aqution: 抽選当たれぇぇぇ
[0:30:11] haduki_09: おｋ
[0:30:11] momizi315: おk
[0:30:12] nikkorikun: 1人ぐらいいそう
[0:30:12] たぼたぼ2525: いったらめったんめったんにしてやるからな
[0:30:13] ピサロナイト: 罰としては永久BANで良いと思うで
[0:30:13] 0_Shiina: キッズ注意
[0:30:14] 空き缶222: クソガキは消せ
[0:30:16] reollly: おけ
[0:30:20] amuru007: ニコニコでやるというガキが出るぞ
[0:30:21] takoyaki_0911: お前Twitter巡回してるんちゃうの？
[0:30:21] meruizu: 通報もしとけばいい？
[0:30:27] itonemushi: BANですわ
[0:30:28] nikkorikun: 某ユートンソンみたいになるぞ
[0:30:28] akikangg: ごめん何にも聞いてなかったわもう一回言って
[0:30:28] yozakusa: 餓鬼は処分
[0:30:35] totasu9: トンソン君めっちゃいいそう(こなみ
[0:30:36] でどすた: wikipediaより早いリスナーネットワーク
[0:30:39] yjusn114514: 公式アカウントには教えても良い？(ライン)
[0:30:40] dante56565: 流石にそんなことする会員いないやろーw
[0:30:47] 0_Shiina: ？
[0:30:49] muru1113: 世界遺産
[0:30:50] narunaru555: カンボジア
[0:30:51] maou6840: ？
[0:30:53] Yuu6210_blue: 世界遺産
[0:30:54] nikkorikun: アンコールスワット！？
[0:30:54] frnspn101: 世界遺産
[0:30:55] itonemushi: 草
[0:30:55] obanatti: お
[0:30:57] takoyaki_0911: SWAT??
[0:30:57] ピサロナイト: 生放送自体は会員だけやないで
[0:30:58] 空き缶222: カンボジア
[0:30:59] tositosi1011: 世界遺産ですね
[0:30:59] arukuHOMOGODzilla810: 世界遺産さん！？
[0:30:59] juke521: それ世界遺産
[0:31:00] nattoP_: カンボジア
[0:31:00] 55ship: BEAUTIFUL
[0:31:00] Nightbot: tofu2222 -> Shake it, baby! [stop spamming caps] [warning]
[0:31:00] yozakusa: アンコールスワットってなんですか？
[0:31:05] teto_gbf: ニコニコメイン、ようつべメインどっち？
[0:31:07] ariesusan: アンコールスワット？て言ったの？
[0:31:11] dante56565: 撮影だけだから放送ないぞ
[0:31:12] syuguru0913: 動画公開大体いつごろ？
[0:31:16] でどすた: 特殊部隊再び
[0:31:17] ピサロナイト: 置けないんですなぁ
[0:31:19] sugto: 世界遺くんちゃん産！？
[0:31:20] obanatti: 草
[0:31:22] totasu9: beautifulは草
[0:31:24] 0_Shiina: はい
[0:31:25] いこまき: はいにわか
[0:31:29] aya_2525_Spla: にわか
[0:31:30] dante56565: ５年やってるのににわかさん！？
[0:31:30] たぼたぼ2525: にわかか？
[0:31:30] あるたー: にわか
[0:31:31] ピサロナイト: 年やっててこのニワカ
[0:31:34] 梨一: にわか
[0:31:34] Aqution: じゃあハードの肉になんのメリットが！？
[0:31:37] yjusn114514: にわかか？
[0:31:37] ピサロナイト: あ
[0:31:37] まっちゃくんん: あ
[0:31:39] nikkorikun: にわかだから皆殺しにされろ
[0:31:39] takoyaki_0911: ５年やってにわか
[0:31:41] meruizu: あ
[0:31:42] aya_2525_Spla: 5年とは
[0:32:07] nikkorikun: 認知症
[0:32:11] 0_Shiina: ハードモードのワールド保存して
[0:32:14] dante56565: ってか緑くんいるから大丈夫でしょ
[0:32:15] takoyaki_0911: メモっとけ
[0:32:17] nikkorikun: 保存して
[0:32:17] ピサロナイト: 一応聞いておくけどコラボってちゃんね・ら<でやるんだよね？
[0:32:19] まっちゃくんん: 定期；ワールド保存
[0:32:20] 空き缶222: wikiさん
[0:32:22] arukuHOMOGODzilla810: なんでもリスナーに頼りすぎやない？
[0:32:23] obanatti: ハードモードのワールド保存して
[0:32:24] Yuu6210_blue: ハードモードのワールド保存して
[0:32:25] syuguru0913: 保存して
[0:32:29] muru1113: ハードモードのワールド保存して
[0:32:31] yjusn114514: ハードモードのワールド保存して
[0:32:31] でどすた: じゃあクソにわか4ねっていうからそれサインね
[0:32:37] akikangg: ここににわかいます穀しますか？ >はい いいえ
[0:32:40] ariesusan: 寺院建築なのか…博識っすね…
[0:32:42] nikkorikun: は？
[0:32:50] sugto: おまいう
[0:32:54] kirizaki007: ゲームモード0でいいん？
[0:32:56] nikkorikun: ぼっち
[0:32:56] amuru007: ハードモード(意味深)のワールド保存してって言えばいいの？
[0:33:01] dante56565: ハードモードのワールド破損して？（難聴
[0:33:13] りざーお: 肉置こうとしてた奴・・・
[0:33:15] tositosi1011: 保存!保存!保存!
[0:33:24] 55ship: Wikipediaさん！？
[0:33:25] でどすた: へー
[0:33:26] yjusn114514: 黒曜石持ったままになってますよ、不正かな？
[0:33:28] arukuHOMOGODzilla810: へー・。・
[0:33:29] yozakusa: あ
[0:33:30] muru1113: はい
[0:33:31] takoyaki_0911: 絶対興味ねぇな
[0:33:31] akikangg: クソにわか4ね
[0:33:31] 0_Shiina: ウィキ先輩
[0:33:31] yotuba0428: あ
[0:33:31] dante56565: あ
[0:33:32] suica79: a
[0:33:32] meruizu: あ
[0:33:33] mugnum0109new: あ
[0:33:33] 梨一: 草
[0:33:33] あるたー: あ
[0:33:35] totasu9: あ
[0:33:35] arukuHOMOGODzilla810: はぁ…
[0:33:35] nikkorikun: にわか4ね
[0:33:37] yjusn114514: あ
[0:33:39] Aqution: もうハードに肉いらなくね？
[0:33:40] tositosi1011: 草
[0:33:43] momen_toofu: わこらだいまきた〜
[0:33:43] yjusn114514: アスレ放送？
[0:33:44] まっちゃくんん: ｗ
[0:33:45] syuguru0913: あ
[0:33:46] muru1113: あ
[0:33:47] 0_Shiina: 草
[0:33:47] totasu9: 草
[0:33:47] 梨一: あ
[0:33:48] haduki_09: あっ
[0:33:48] nikkorikun: あ
[0:33:48] ポフロン: あ
[0:33:48] meruizu: 草
[0:33:49] orange3kp: 草
[0:33:49] ピサロナイト: 嘘やろ
[0:33:50] amuru007: あ
[0:33:51] dante56565: あれ
[0:33:51] akikangg: え？
[0:33:51] teto_gbf: 草
[0:33:52] yjusn114514: あ
[0:33:53] yozakusa: ダメじゃん
[0:34:00] poteito: これがコラボ相手さんですか
[0:34:04] yjusn114514: これはjk
[0:34:06] saidannonatto: 今北です。こん
[0:34:09] totasu9: 考え直せ
[0:34:11] dante56565: フェンスアスレ アスレできない勢にはきついぞ
[0:34:13] akikangg: 違う意味で難しいのか
[0:34:14] nikkorikun: てんのすけがコラボ相手だった…！？
[0:34:14] 空き缶222: 하드 모드 월드 저장
[0:34:14] でどすた: 天の助アスレダメ勢だったのか…
[0:34:15] syuguru0913: ぷ、ぷるぷるだからだよ。うん。
[0:34:18] arukuHOMOGODzilla810: 瓦礫さんと
[0:34:20] yozakusa: 修正
[0:34:22] maou6840: てんのすけw
[0:34:24] rtahearthryu: 逆に簡単すぎて難しいとか
[0:34:25] nikkorikun: ；；
[0:34:32] naacha_3106: がんばれ；；
[0:34:35] kensho_nogi: ちょっとじゃないだろ
[0:34:35] yozakusa: 緑くんw
[0:34:38] ポフロン: がんばって；；
[0:34:39] akikangg: カクカクだからじゃない
[0:34:40] ayubou: がれきちゃんJKだから…
[0:34:43] teto_gbf: 炎上確定じゃん
[0:34:43] yozakusa: ；；
[0:34:45] shuutonkn: さ
[0:34:46] tositosi1011: 緑くんさん!?大丈夫!w
[0:34:52] gear5_nika: 緑くそバカにしてんじゃんw
[0:34:55] 梨一: 88888
[0:34:55] nikkorikun: 8
[0:34:55] 0_Shiina: さすJK
[0:34:57] yozakusa: おめでとう888
[0:34:57] noroshi136: おお
[0:35:04] 空き缶222: さすがれ
[0:35:04] arukuHOMOGODzilla810: ミスしてるミドリ君見て萌えた、大好き
[0:35:06] yjusn114514: お前のスポンサーの数みたいだな
[0:35:08] mugnum0109new: あれ？
[0:35:08] totasu9: ;;
[0:35:10] nikkorikun: てんちゃん！？
[0:35:13] 0_Shiina: 相手はてんのすけだった！？
[0:35:14] dante56565: 天ちゃんは足がプルプルしちゃうから
[0:35:18] akikangg: これお前にしかできないアスレなのかな？
[0:35:19] syuguru0913: みどりくんクソ可愛い
[0:35:23] ピサロナイト: これ一マスダッシュじゃないよね？全部あるいていけるよね？
[0:35:37] kensho_nogi: みどりくんじゃ...w
[0:35:42] amuru007: アスレダメ勢には無理なんだよ
[0:35:44] akikangg: カクカクじゃん
[0:35:46] yjusn114514: がんばえー
[0:35:49] totasu9: かわいい
[0:35:54] yozakusa: 草
[0:35:55] nekotori222: 塾帰り今北んこー何戦目？
[0:35:55] akikangg: さすだる？
[0:35:58] arukuHOMOGODzilla810: 草
[0:35:58] yozakusa: 落ち込んだ
[0:35:59] teto_gbf: ；；
[0:35:59] frnspn101: 草
[0:35:59] totasu9: ;;
[0:36:00] haduki_09: ；；
[0:36:00] 0_Shiina: つるつるだもんね
[0:36:02] 空き缶222: 炎上
[0:36:03] 梨一: 炎上
[0:36:04] mugnum0109new: 草
[0:36:05] muru1113: てんのすけ；；
[0:36:06] obanatti: 炎上
[0:36:06] dante56565: ところてんジェット使えばいけるだろ！
[0:36:06] yjusn114514: 炎上
[0:36:06] meruizu: 炎上
[0:36:08] akikangg: 炎上確定やな
[0:36:09] yotuba0428: 炎上
[0:36:10] juke521: 炎上
[0:36:12] aya_2525_Spla: 炎上
[0:36:13] sugto: 炎上
[0:36:14] yozakusa: おめでとう888
[0:36:15] yjusn114514: id控えた
[0:36:18] akikangg: さすだる
[0:36:18] nikkorikun: 他にmuuって人でアスレクソ上手い人居るよな
[0:36:23] tositosi1011: 88888888888888888
[0:36:23] mirumachan: これは、炎上っすわー
[0:36:26] ryuua1013: CurseLit
[0:36:32] yozakusa: あ
[0:36:32] あろすて: midorkunに食べられたってww
[0:36:35] Aqution: はい
[0:36:37] nikkorikun: にわか
[0:36:37] 空き缶222: ハード？
[0:36:38] narunaru555: 余裕とは
[0:36:39] 0_Shiina: はい
[0:36:41] sugto: はい
[0:36:46] yozakusa: 哲学
[0:36:47] dante56565: １回落ちてる時点でもうだめ
[0:36:50] banaaaaaaaaaaaaaaaa: 初見です！
[0:36:50] totasu9: 設計し直せ
[0:36:51] nekotori222: これ何してんですか？
[0:36:53] ピサロナイト: これムズイってそもそもマイクラをそこまで起動してないだけだと思うで
[0:37:15] narunaru555: アスレダメ勢は基本アスレの奴参加しないからだよ
[0:37:15] naacha_3106: コラボ相手これ大丈夫なの？
[0:37:16] akikangg: つ旦
[0:37:18] nikkorikun: ピースフルモード
[0:37:19] 梨一: 8888888
[0:37:19] ピサロナイト: 糞イージーすぎて草
[0:37:20] yozakusa: おい
[0:37:21] 空き缶222: おい
[0:37:22] nikkorikun: おい
[0:37:23] 0_Shiina: おい
[0:37:24] yotuba0428: おい
[0:37:25] muru1113: おい
[0:37:33] akikangg: 君も炎上したいんだね？
[0:37:33] suica79: おい
[0:37:35] haduki_09: おい
[0:37:40] yozakusa: お
[0:37:45] dante56565: アスレダメ勢は必死に練習するか参加控えるかのどっちかだから
[0:37:46] ピサロナイト: 草
[0:37:48] muru1113: 草
[0:37:48] 空き缶222: 草
[0:37:49] 0_Shiina: かわいい
[0:37:49] frnspn101: 草
[0:37:50] yozakusa: かわいい
[0:37:50] totasu9: 草
[0:37:50] arukuHOMOGODzilla810: 草
[0:37:50] orange3kp: 草
[0:37:52] frnspn101: かわいい
[0:37:52] いこまき: 草
[0:37:53] yotuba0428: 草
[0:37:53] nikkorikun: ；；
[0:37:53] naacha_3106: かわいい
[0:37:53] 梨一: 草
[0:37:54] tositosi1011: 不正
[0:37:55] ariesusan: 草
[0:37:56] ピサロナイト: ブルさん可愛い
[0:38:01] yjusn114514: 可愛い
[0:38:04] tositosi1011: かわええ
[0:38:14] dante56565: ところてんマグナム使えばあそこまでいけるだろ
[0:38:17] でどすた: 補ってあげるから…
[0:38:24] yjusn114514: 新入社員かな？
[0:38:25] 0_Shiina: 草
[0:38:25] 梨一: 草
[0:38:26] totasu9: ;;
[0:38:26] akikangg: ブルさんカクカクじゃない？
[0:38:26] yozakusa: 諦めんなよ
[0:38:28] nikkorikun: 草
[0:38:30] いこまき: 草
[0:38:42] akikangg: 諦めて4んだら？
[0:38:45] ilovecarpcarp: わこらだ
[0:38:46] tositosi1011: 諦めんなよ‼(松岡修造)
[0:38:50] ピサロナイト: プルプル神拳でマウスを持つ手がプルプルしてるんやろなぁ
[0:38:51] yjusn114514: がんばえー
[0:38:56] yozakusa: 可愛い
[0:38:59] totasu9: 草
[0:39:09] nikkorikun: 草
[0:39:09] teto_gbf: がんばえ
[0:39:12] totasu9: もうやめてやれ;;
[0:39:12] 0_Shiina: ；；
[0:39:13] maou6840: ええ子や
[0:39:14] haduki_09: がんばえ；；
[0:39:20] yozakusa: ここまで下手くそだったら逆にかわいい
[0:39:28] akikangg: もう諦めて4んだら？
[0:39:31] 梨一: 888888888888
[0:39:31] Yuu6210_blue: ８
[0:39:32] 0_Shiina: 888888
[0:39:32] ピサロナイト: 888888888888888888888
[0:39:33] suica79: 888
[0:39:33] noroshi136: おめ
[0:39:33] teto_gbf: ８８８８８８８８８８８８８８８８
[0:39:33] Nightbot: teto_gbf -> Sewer scum! [stop spamming caps] [warning]
[0:39:34] meruizu: 88888888888
[0:39:34] あるたー: 888
[0:39:34] yozakusa: オオオオオオ888
[0:39:35] yotuba0428: 8888888888
[0:39:36] milddaynodoka: 88888
[0:39:37] ilovecarpcarp: 8
[0:39:37] totasu9: 成長したんだな;;
[0:39:38] naacha_3106: 8
[0:39:38] ariesusan: 888888888888
[0:39:39] muru1113: 8
[0:39:40] tositosi1011: 888888888888
[0:39:40] ととのん: バイト中に放送するとかなんなんほんまもっとやれや
[0:39:42] saidannonatto: 8888888
[0:39:43] yjusn114514: 8888888
[0:39:44] narunaru555: おい
[0:39:45] 梨一: おい
[0:39:45] あろすて: 88888888888
[0:39:47] yozakusa: お父さん嬉しい
[0:39:48] banaaaaaaaaaaaaaaaa: これが成長かぁ
[0:39:48] sugto: 888
[0:39:49] muru1113: おい
[0:39:50] ピサロナイト: あれ
[0:39:50] 梨一: 不正
[0:39:52] ilovecarpcarp: おい
