[0:00:04] ピックちゅ: hi
[1:03:52] milololon: まだ続けるのかよ…
[1:03:52] muru1113: 戻すな4ね
[1:03:57] あずまっくす: 逆にらっだぁはあったん？
[1:04:00] ebi29: ちなみにらっだぁはなんだった？
[1:04:01] 闇堕ちえびふらい: わこらだ
[1:04:15] gomimusi0123: ただいま
[1:04:21] mugnum0109new: おかえり
[1:04:21] hotaru_0309: おかえり
[1:04:22] milololon: おかえり
[1:04:25] muru1113: おかえり
[1:04:26] あずまっくす: こんおかー
[1:04:33] ilovecarpcarp: おかえり
[1:04:41] ashurintamu: 変態ゾンビって言われてたな
[1:04:42] nekotori222: おっかぁ
[1:04:43] あずまっくす: ；；
[1:04:44] milololon: ; ;
[1:04:45] mugnum0109new: ；；
[1:04:46] ハリネズミン: ；；
[1:04:48] muru1113: ；；
[1:04:49] gomimusi0123: ；；
[1:04:53] ilovecarpcarp: ；；
[1:04:54] hotaru_0309: ; ;
[1:04:55] ankwoun: ;;
[1:04:57] nekotori222: ；；
[1:05:16] hotaru_0309: すごーい
[1:05:19] あずまっくす: すごーい
[1:05:20] ハリネズミン: おお
[1:05:24] mugnum0109new: すごーい
[1:05:27] ilovecarpcarp: おおー
[1:05:30] hotaru_0309: さすりす
[1:05:33] kawiwawre: すごーい
[1:05:42] ハリネズミン: 崩壊 とは
[1:05:49] muru1113: 崩壊なの？
[1:06:03] chosuuu: ワイルドスピード見ながらラッだぁの放送みてます。ワイルドスピードの方が面白いです、比較するまでもないか
[1:06:16] hotaru_0309: そーだね
[1:06:20] yuunonnou: 崩壊の意味の崩壊
[1:06:25] kawiwawre: 崩壊（ほうかい）放射性同位体が状態を変化させる現象。→放射性崩壊斜面が集中豪雨などにより崩壊すること。→斜面崩壊社会現象。→学級崩壊、医療崩壊
[1:06:52] gomimusi0123: Wikipedia先輩チッスチッス
[1:06:55] ハリネズミン: Wiki先輩！？
[1:07:44] kawiwawre: 「この崩」まじ面白いよね〜
[1:08:06] kawiwawre: 草ｧ!
[1:08:07] hotaru_0309: 草
[1:08:11] gomimusi0123: 草
[1:08:15] muru1113: 首めっちゃガクガクしてた
[1:08:18] milololon: なんかかわいい
[1:08:18] mugnum0109new: おい
[1:08:32] kimu0596: わこらだ
[1:08:45] chosuuu: 豆腐？
[1:09:02] kimu0596: 豆 腐 建 築
[1:09:05] muru1113: 期待しないでおく
[1:09:25] milololon: どうせ豆腐
[1:09:32] muru1113: ひy
[1:09:33] ankwoun: BIN
[1:09:40] kawiwawre: BIN
[1:09:48] gomimusi0123: bin
[1:09:51] kawiwawre: 冴え渡りんグリンゲーション追加
[1:09:59] kimu0596: どうせ作るなら龍宮城作れよ
[1:10:32] あずまっくす: 竜宮城
[1:11:03] kawiwawre: ﾐﾄﾞﾘｸｿが崩壊を体現していた…！？
[1:11:08] softairgamermitderm4: Hallo
[1:11:15] kawiwawre: kon
[1:11:19] hotaru_0309: kon
[1:11:20] chosuuu: ま？
[1:11:24] gomimusi0123: kon
[1:11:26] kimu0596: kon
[1:11:29] ilovecarpcarp: kon
[1:11:30] muru1113: ミドリクソ自体が崩壊の象徴？
[1:11:32] あずまっくす: kon
[1:11:35] chosuuu: ここん
[1:11:37] muru1113: こん
[1:11:45] milololon: kon
[1:11:57] kawiwawre: ヒルトンソn
[1:12:02] muru1113: なにとんそん
[1:12:03] milololon: あれは仕方ない
[1:12:08] あずまっくす: 気になる人はtwitchのアーカイブあるよ
[1:12:13] ilovecarpcarp: トントントン
[1:12:13] ashurintamu: ヒルトンなんとかさん(´･ω･`)
[1:12:19] ayubou: なにトンソン
[1:12:27] hotaru_0309: 途中まで楽しかったのにね
[1:12:28] kawiwawre: ゆーとんとヒルはみんなのアイドル
[1:12:51] muru1113: トントントントンヒルトンソン
[1:12:53] あずまっくす: ま？
[1:12:58] muru1113: へぇ
[1:12:59] ilovecarpcarp: ま？
[1:12:59] milololon: え？
[1:13:03] ilovecarpcarp: どれ
[1:13:05] kawiwawre: スピードでしょ
[1:13:23] kawiwawre: 無能運営
[1:13:32] milololon: こy
[1:13:35] muru1113: やれ
[1:13:37] yuunonnou: 人狼って著作権あるんじゃね
[1:13:43] kawiwawre: 圧力
[1:13:47] ilovecarpcarp: つべこy
[1:13:52] gomimusi0123: 家作れよ
[1:14:04] kawiwawre: サブチャンネル開設しとけ
[1:14:20] ayubou: てか、明日ニコニコ超会議行くんだけどらだどこにいる？
[1:14:22] kawiwawre: BEN
[1:14:35] muru1113: マスオさん！？
[1:14:42] あずまっくす: twitchの時代かなぁ
[1:14:43] kawiwawre: あれ好きじゃない…
[1:14:45] ilovecarpcarp: 時代はツイッチやろ
[1:14:56] hotaru_0309: それな
[1:15:07] chosuuu: わかっとるやん
[1:15:14] gomimusi0123: あー↑^ら^
[1:15:16] kawiwawre: そのくせコメ見てないクソ生主
[1:15:33] でどすた: 今北わこ
[1:15:37] kawiwawre: こん
[1:15:39] hotaru_0309: こん
[1:15:39] muru1113: こん
[1:15:40] ilovecarpcarp: こん
[1:15:40] milololon: こん
[1:15:42] gomimusi0123: こん
[1:15:50] あずまっくす: こん
[1:15:55] kawiwawre: YouTuberの恋愛ゲームの生放送して
[1:15:57] あずまっくす: ミュート
[1:15:58] chosuuu: うそつくな
[1:16:02] kawiwawre: おい福田
[1:16:03] そうちん: お前それ好きだよな
[1:16:06] ankwoun: ミュート
[1:16:08] muru1113: ミュート
[1:16:08] kawiwawre: ミュート
[1:16:13] gomimusi0123: ミュート
[1:16:29] milololon: 買ってない
[1:16:34] kawiwawre: サンドリできないらしいね
[1:17:31] kawiwawre: モンハン次回作がソニーに戻ってくるって話のがびっくり
[1:17:59] kimu0596: やっぱカプコンも任天堂に愛想つかしたんやなって
[1:18:26] gotonb: サンドリとねじれが出来ないからね
[1:18:28] kawiwawre: 任天堂戦法ガラッと変わったしな
[1:18:40] あずまっくす: そういえば任天堂の人退任したなー
[1:19:00] kimu0596: Switchで閃乱カグラとFateとか意外すぎる
[1:19:06] kawiwawre: いわたしゃちょーが凄かったんやなぁって
[1:19:09] hotaru_0309: 草
[1:19:15] gomimusi0123: 草
[1:19:17] milololon: ミドリクソ
[1:19:18] ilovecarpcarp: 草
[1:19:20] kimu0596: 草
[1:19:20] でどすた: 草
[1:19:21] kawiwawre: 草
[1:19:56] ilovecarpcarp: みかん
[1:19:57] muru1113: りんご
[1:20:02] hotaru_0309: ごはん
[1:20:06] gotonb: ごりら
[1:20:08] muru1113: リンカーン
[1:20:10] ankwoun: ゴルゴンゾーラチーズ
[1:20:15] kimu0596: ゴードン
[1:20:16] muru1113: ズーミン
[1:20:17] hotaru_0309: ズッキーニ
[1:20:20] milololon: ズッキーニ
[1:20:24] gotonb: ニラ
[1:20:25] ilovecarpcarp: にんにく
[1:20:26] gomimusi0123: ズッキーニ
[1:20:27] muru1113: 人参
[1:20:30] ish12213: ンドゥール
[1:20:31] kimu0596: ズッキーニ被ってて草
[1:20:38] hotaru_0309: ンジャメナ
[1:20:38] milololon: 草
[1:20:43] kawiwawre: りんご オレンジ ゴリラ らいおん 俺をクリックしてくれ！
[1:20:52] ankwoun: んぅんまい棒
[1:21:08] tiroru0125: こん！！
[1:21:11] gomimusi0123: こん
[1:21:13] milololon: こん
[1:21:13] kawiwawre: こん
[1:21:15] kimu0596: kon
[1:21:15] ilovecarpcarp: こんこ
[1:21:15] hotaru_0309: こん！
[1:21:21] でどすた: こん
[1:21:21] ankwoun: こん
[1:21:26] あずまっくす: こん
[1:21:28] muru1113: こん
[1:21:32] milololon: いいよ
[1:21:34] tiroru0125: 今何してるとこですか
[1:21:38] kimu0596: いいよ
[1:21:39] でどすた: いいよ
[1:21:39] ilovecarpcarp: ええよ
[1:21:40] ayubou: いいよ
[1:21:46] kawiwawre: しょぼすけ神をパクるな
[1:21:52] hotaru_0309: らだが豆腐小屋作ってるよ
[1:21:55] milololon: 家作ってる
[1:21:55] あずまっくす: 素手でトン勝食べる？
[1:22:01] kimu0596: 今龍宮城作ってる
[1:22:10] tiroru0125: ThX
[1:22:19] あずまっくす: 何言ってるかわからんw
[1:22:23] milololon: ？
[1:22:28] kimu0596: ？
[1:22:29] gomimusi0123: ？
[1:22:31] hotaru_0309: ？
[1:22:31] でどすた: 考えるだけで辛いからやめとけ
[1:22:33] tiroru0125: 英語しゃべれないのにね
[1:22:36] そうちん: 見てるこっちが恥ずかしい
[1:22:36] kawiwawre: 大学生らっだぁ「関係代名詞とか分かんねぇわ大学生だけど」
[1:22:58] milololon: らっだぁはできるの？
[1:23:07] hotaru_0309: とりあえずドン勝食えよ
[1:23:16] でどすた: しこたま怒られても知らんで
[1:23:16] kawiwawre: じゃあ聞くな
[1:23:19] ashurintamu: どうせハローとか言って終わりそう
[1:23:26] あずまっくす: らっだぁの馬鹿があからさまになるんやな
[1:23:43] ilovecarpcarp: 眠たすぎて4にそう
[1:23:49] muru1113: は？
[1:23:49] でどすた: ブロック入ってくる
[1:23:54] そうちん: 英語舐めてんのか
[1:23:55] kawiwawre: お前はろーてんてーにはなれないんやで…
[1:23:58] kawiwawre: ？
[1:24:00] でどすた: 間違えた
[1:24:00] kimu0596: じゃあ今から英語だけで喋れよ
[1:24:12] でどすた: 風呂入ってくる
[1:24:17] あずまっくす: てらー
[1:24:17] milololon: いてらー
[1:24:21] kawiwawre: てら
[1:24:23] kimu0596: いてら
[1:24:23] muru1113: てらー
[1:24:26] ilovecarpcarp: 英語をあまくみるな
[1:24:26] gomimusi0123: てらー
[1:24:31] kawiwawre: ジェネレーションギャップ
[1:24:33] ilovecarpcarp: いってら
[1:25:07] nekotori222: いて
[1:25:13] kimu0596: BIN
[1:25:18] kawiwawre: BIN
[1:25:26] milololon: BIN
[1:25:30] gomimusi0123: bin
[1:26:13] kawiwawre: 草
[1:26:21] tiroru0125: 今見てるついっちさんに質問ですニコニコの方でコメントが打てないんですけどどうすればいですか？
[1:26:26] milololon: ヤバい奴だな
[1:26:34] kawiwawre: リロード推奨
[1:26:38] muru1113: Twitchくれば解決
[1:26:48] kawiwawre: 下ろされた
[1:27:05] milololon: 怪我させたんだっけ
[1:27:17] milololon: 大分前だぞ
[1:27:24] ルギウス: 確か動物園にいるぞ
[1:27:33] tiroru0125: みなさんこんな僕ですがヨロです！
[1:27:36] kawiwawre: たまに出てるけどな
[1:27:44] muru1113: よろ
[1:27:44] ilovecarpcarp: よろ
[1:27:45] milololon: よろ
[1:27:50] ankoro0107: よろ
[1:27:51] kawiwawre: YOLO
[1:27:52] そうちん: 猿でも彼女いるのにお前は…
[1:27:53] cherry_0606: よろ
[1:27:55] あずまっくす: よろ
[1:28:01] tiroru0125: 仲良くしてください
[1:28:08] そうちん: よろ
[1:28:18] kawiwawre: ギャラでしょ
[1:28:27] milololon: は？
[1:28:28] muru1113: は？
[1:28:33] あずまっくす: は？
[1:28:33] ilovecarpcarp: は？
[1:28:44] muru1113: あ
[1:28:46] kawiwawre: ？・。・？
[1:28:51] gomimusi0123: あ
[1:29:01] kawiwawre: こy
[1:29:06] tiroru0125: らだツイッチのコメントみてる？
[1:29:12] muru1113: みてるよ
[1:29:17] あずまっくす: たまに見てるよ
[1:29:22] milololon: え
[1:29:34] あずまっくす: 家？
[1:29:36] gotonb: ？
[1:29:36] muru1113: だっさぁ
[1:29:37] milololon: 本気で言ってんの？
[1:29:38] kawiwawre: ？
[1:29:40] ilovecarpcarp: いえ？
[1:29:41] tiroru0125: 読んでくれると思いますか
[1:29:45] MitoolsworD: 高床式
[1:29:50] あずまっくす: 青空教室かよ
[1:29:52] kawiwawre: shine
[1:29:55] そうちん: 何このごみ
[1:30:02] kawiwawre: やれﾐﾄﾞﾘｸｿ
[1:30:18] 299taitaimon: うん
[1:30:29] ashurintamu: 冷蔵庫に入るヤツがそれ言うかよw
[1:30:39] yosumin874: こん
[1:30:45] kawiwawre: こん
[1:30:46] milololon: こん
[1:30:47] あずまっくす: こん
[1:30:48] ashurintamu: こん
[1:30:49] ilovecarpcarp: こんこん
[1:30:53] muru1113: は？
[1:30:57] milololon: ？
[1:30:58] muru1113: こん
[1:31:02] あずまっくす: せめてチェストにしろ
[1:31:02] gomimusi0123: ？
[1:31:02] kawiwawre: ？
[1:31:52] milololon: いいよ
[1:31:56] あずまっくす: twitchのみでよろ
[1:31:58] ashurintamu: いいよ
[1:32:00] muru1113: いいよ
[1:32:02] ayubou: いいよ
[1:32:03] maike1892: ( *・ω・)ノやぁ
[1:32:05] ebi29: いいね
[1:32:05] ashurintamu: Twitchのみ賛成
[1:32:10] あずまっくす: やぁ
[1:32:11] muru1113: やぁ
[1:32:18] milololon: やぁ
[1:32:19] nekotori222: やぁ(。>ω<。)
[1:32:22] ilovecarpcarp: やぁ
[1:32:25] yosumin874: やぁ
[1:32:35] ayubou: 運営でボイチャしながらやれ
[1:32:50] maike1892: アンコメの俺登場wwwwwwww
[1:32:51] ilovecarpcarp: こんちゃんの声が聞きたい
[1:32:59] tiroru0125: らだ「おまえん家の冷蔵庫に入りに行くからな」とか言ってる時点でもう不法侵入に近いやん
[1:33:06] chosuuu: クソ建築どうなってる？
[1:33:22] tiroru0125: たぶんできない
[1:33:23] milololon: gtaの野良はキッズ多いよ
[1:33:24] あずまっくす: VCあるよ
[1:33:31] maike1892: らだ建築センス(人･ω･)☆超かわいい☆(･ω･人)
[1:33:43] maike1892: けど、お前の顔はブスw
[1:34:05] ashurintamu: ブラックナイト山田は草
[1:34:09] ilovecarpcarp: 眠たいから寝るー ツイッチみんなまたな おっつぅ
[1:34:16] あずまっくす: おやすみ～
[1:34:17] milololon: おっつぅ
[1:34:17] hotaru_0309: おっつぅ
[1:34:20] tiroru0125: おまえと話すとか、キッズかわいそう
[1:34:20] gomimusi0123: おっつぅ
[1:34:21] maike1892: おっつぅ
[1:34:21] MitoolsworD: おっつぅ
[1:34:22] muru1113: おっつぅ
[1:34:24] yosumin874: おっつぅ
[1:34:27] milololon: いい夢見ろよ
[1:34:28] ashurintamu: おっつぅ
[1:34:31] tiroru0125: 乙
[1:34:45] gomimusi0123: みどりくんは建築しないのかな？
[1:34:59] nekotori222: おっつぅ
[1:35:10] maike1892: BO3☆YA☆RA☆NA☆I☆KA☆
[1:35:11] tiroru0125: いったな
[1:35:29] そうちん: ぽまえに負けるわけ無いわ。負けたら一生貢ぐわ
[1:35:40] tiroru0125: ぽまえｗ
[1:35:51] maike1892: ニコ生の方行くわw多分コメント読まないw
[1:35:57] tiroru0125: あっごめんなさい
[1:36:07] tiroru0125: いってら～
[1:36:07] maike1892: じゃあ！
[1:36:12] gomimusi0123: てら
[1:36:14] あずまっくす: てらー
[1:36:18] hotaru_0309: てら
[1:36:18] muru1113: てら
[1:36:20] milololon: いてらー
[1:36:23] nekotori222: いってらっしゃ
[1:36:55] hotaru_0309: リスナーとやるの？
[1:37:07] milololon: スマブラはキューブしかねーわ
[1:37:28] でどすた: 最下位回避する程度
[1:37:35] gomimusi0123: 村人かなぁ
[1:37:36] tiroru0125: この前この企画でニコニコのコメントでらだに読まれたは
[1:37:39] そうちん: お前よりは強い
[1:38:00] hotaru_0309: ツイッチあんまり見ないもんね
[1:38:10] milololon: DXなら負けない
[1:38:57] tiroru0125: 今日ふうさん生してた？
[1:39:28] tiroru0125: だまんなや
[1:39:38] tiroru0125: らっだぁ
[1:39:50] 299taitaimon: ふかわりょうさん！？
[1:39:56] あずまっくす: 何かダサいな
[1:39:59] そうちん: 物理法則無視しないで
[1:40:05] mizu_marioshi: これどうやって立ってんだよ
[1:40:37] milololon: うっざ
[1:40:50] yosumin874: くっさ
[1:40:54] あずまっくす: おい7連勤なんやけど
[1:41:26] milololon: 仕事行きたくない
[1:41:49] muru1113: お前何億歳だよ
[1:41:52] あずまっくす: 後々転職するわー
[1:41:55] milololon: ない
[1:42:02] tiroru0125: ゴールデン
[1:42:03] あずまっくす: ない
[1:42:13] tiroru0125: JKanStyle JKanStyle JKanStyle JKanStyle JKanStyle JKanStyle JKanStyle
[1:42:27] muru1113: お絵かきの森やって欲しい
[1:42:30] hotaru_0309: ディクダリオン作って
[1:42:31] muru1113: ？
[1:42:35] あずまっくす: ？
[1:42:40] poco_0520: ？
[1:43:05] muru1113: かばんちゃんさん！？
[1:43:17] tiroru0125: 最近リゼロ見だした
[1:43:37] hotaru_0309: ペテ公好き
[1:43:41] gyozafighter: こんちは
[1:43:50] あずまっくす: こん
[1:43:51] tiroru0125: こん
[1:43:52] hotaru_0309: こん
[1:43:56] muru1113: こん
[1:43:56] milololon: こん
[1:43:57] yosumin874: こん
[1:43:58] MitoolsworD: こん
[1:44:00] nekotori222: こん
[1:44:23] matsurusi: 今北こん
[1:44:31] muru1113: こん
[1:44:35] hotaru_0309: こん
[1:44:35] gyozafighter: こん
[1:44:37] milololon: こん
[1:44:41] あずまっくす: こん
[1:44:44] MitoolsworD: こん
[1:44:47] nekotori222: こん
[1:45:03] milololon: 悪夢じゃん
[1:45:04] yosumin874: 悪夢
[1:45:09] gyozafighter: 悪夢
[1:45:11] tiroru0125: うまるの2期2017秋放送予定！！ 「いえ～～～～い」
[1:45:14] あずまっくす: 悪夢
[1:45:25] gyozafighter: うまるまじ？
[1:45:28] muru1113: ある
[1:45:29] tiroru0125: 分かる
[1:45:35] tiroru0125: マジ
[1:45:40] hiku0523: 正夢
[1:45:49] でどすた: それやばいよ
[1:45:51] nekotori222: 本当の悪夢じゃん疲れてんじゃない？
[1:46:06] mizu_marioshi: それ、力士がなるやつやん
[1:46:17] gyozafighter: わかる
[1:46:19] muru1113: 寝てる途中枕に顔突っ伏して呼吸できなくて起きた
[1:46:25] あずまっくす: やっぱりデブやん
[1:46:31] tiroru0125: いつも無呼吸だからじゃない？
[1:46:45] hotaru_0309: 環境にいいんじゃない？
[1:46:48] mizu_marioshi: らっだぁ生きてくのに呼吸必要なの？
[1:47:09] gyozafighter: 花粉症まじきつい
[1:47:13] tiroru0125: もう終わりそうだｐ
[1:47:36] muru1113: ミュートしろ
[1:47:39] でどすた: 花粉症ないわ
[1:47:39] gyozafighter: ミュート
[1:47:41] tiroru0125: トムさんの放送見てくる
[1:47:42] harutotoro: うっさ
[1:47:44] yosumin874: くっさ
[1:47:45] nekotori222: うっさい
[1:47:55] gomimusi0123: うっさい
[1:48:23] tiroru0125: っとその前になんでらっだぁってつべで放送しないの？
[1:48:28] kirimaru1216: BloodTrail
[1:48:38] kirimaru1216: TehePelo
[1:48:48] tiroru0125: BibleThump
[1:48:48] milololon: つべはキッズ多いから…
[1:48:55] kirimaru1216: 言い訳っていいわけ？ってな！
[1:49:01] milololon: ？
[1:49:01] muru1113: 無理
[1:49:03] あずまっくす: ？
[1:49:06] hotaru_0309: かわいそ
[1:49:06] gyozafighter: かわいそう
[1:49:08] muru1113: DQNネーム
[1:49:10] gomimusi0123: かわいそう
[1:49:10] nekotori222: 可哀想
[1:49:10] でどすた: 草
[1:49:14] tiroru0125: キッズがいたらどうなるんですか？
[1:49:21] mizu_marioshi: 親が生主だったら、俺なら家出する
[1:49:44] hotaru_0309: コメ欄が荒れる
[1:50:00] gyozafighter: せっせっせーのよいよいよい
[1:50:03] でどすた: 言えよ
[1:50:09] tiroru0125: 放送禁止用語 乙 CurseLit CurseLit CurseLit CurseLit CurseLit CurseLit
[1:50:15] たけを: こんばんは
[1:50:22] tiroru0125: こんこんこんこん
[1:50:23] yosumin874: こん
[1:50:23] milololon: こん
[1:50:25] hotaru_0309: こん
[1:50:27] gyozafighter: こん
[1:50:30] gomimusi0123: こん
[1:50:32] あずまっくす: こん
[1:50:32] masyumaro1319: わこらだ
[1:50:44] tiroru0125: うぽつ
[1:50:57] mizu_marioshi: やねでかくね？
[1:51:46] でどすた: あんなんどこがおもろいん
[1:51:54] milololon: あんま好きじゃない
[1:51:55] hotaru_0309: だからデブなのか
[1:52:08] あずまっくす: らだしゃちょー！？
[1:52:30] tiroru0125: じゃあ200キロの人でも結婚できる？
[1:52:53] tiroru0125: 三股だから？
[1:53:04] tiroru0125: たしかに
[1:53:11] 299taitaimon: 草
[1:53:32] でどすた: リプ欄をマックで埋めるの刑
[1:53:33] gyozafighter: ？
[1:54:24] milololon: は？
[1:54:27] でどすた: ちょんちょんでいいの？
[1:54:28] あずまっくす: ？
[1:54:35] yosumin874: ？
[1:54:37] nekotori222: 何言ってんの気持ち悪い
[1:54:41] milololon: 何言ってんの？
[1:55:06] gyozafighter: やばいらっだぁのいってることが理解出来ない
[1:55:12] でどすた: 無理
[1:55:28] milololon: 皆理解出来てないよ
[1:55:33] yosumin874: だれからっだぁに精神科紹介してあげて
[1:55:52] gyozafighter: 疲れてんのかなぁ
[1:56:11] mizu_marioshi: 近代化しとるやん
[1:56:22] milololon: 皆ちゃんとした家なのに
[1:56:39] でどすた: 祀られてるから出ない
[1:56:58] mizu_marioshi: もっと崩壊させるのに、なんで家作っとるん？ww
[1:57:18] でどすた: ウィザー目覚めたらもっと崩壊するじゃん！
[1:57:50] gyozafighter: 明日って人狼だったよね？
[1:58:05] poco_0520: は？
[1:58:07] milololon: そうですよ
[1:59:57] yosumin874: ちっ
[2:00:02] gyozafighter: おしい
[2:00:06] milololon: おc
[2:01:54] yosumin874: 草
[2:01:57] muru1113: その説ある
[2:01:58] でどすた: 連打するかね普通
[2:03:02] tiroru0125: もどってきました
[2:03:09] hotaru_0309: おかえり
[2:03:15] tiroru0125: ってゆうかもうおわるの？
[2:03:16] milololon: おかえり
[2:03:21] あずまっくす: おかえり
[2:03:26] gomimusi0123: おかえり
[2:03:31] hotaru_0309: PUBGやるんじゃない？
[2:03:32] gyozafighter: 一旦お風呂入ってくる
[2:03:35] あずまっくす: 何人おるん？
[2:03:43] でどすた: 草
[2:03:50] hotaru_0309: 草
[2:03:51] milololon: いてらー
[2:03:52] あずまっくす: 草
[2:03:53] tiroru0125: すっく名
[2:04:26] hibiki325: もう終わるん？
[2:04:31] kousei0315: ただいま、飯食って来たわ
[2:04:38] hotaru_0309: おかえり
[2:04:38] milololon: おかえり
[2:04:41] あずまっくす: おかー
[2:04:45] yosumin874: おかえり
[2:05:04] mayokare: PUBGはやるのかな？
[2:05:17] hotaru_0309: リスナーとやってほしいな
[2:05:20] ぐれんぷ: わこらだ、もう終わり？
[2:05:34] kousei0315: トンカツ旨かった
[2:05:49] milololon: 草
[2:05:54] hotaru_0309: 草
[2:05:58] tiroru0125: 草
[2:05:58] yosumin874: 草
[2:06:05] あずまっくす: 草
[2:06:26] tiroru0125: マイクラ陸上いつやるの？
[2:06:44] kousei0315: キタキタキタ！
[2:06:57] mugnum0109new: 今日こそはドン勝食うんだよね？
[2:07:08] hotaru_0309: ドン勝ー！
[2:07:14] tiroru0125: らっだぁついっちだけで放送やって
[2:07:14] milololon: 雑談タイム
[2:07:28] あずまっくす: この空いてる時間で寝そう
[2:07:34] tiroru0125: みんなで雑談しましょ
[2:07:40] muru1113: もう寝ちゃってた
[2:07:48] milololon: 寝ながら見てる
[2:08:01] muru1113: @milololon なにそれこy
[2:08:23] gomimusi0123: @
[2:08:25] milololon: ごめんなさい。寝転びながらです
[2:08:31] tiroru0125: みなさんなんの話しますか・
[2:08:46] kousei0315: 皆さぁ…マジレスするとﾐﾄﾞﾘｸｿ好き？
[2:08:53] milololon: 好き！
[2:08:56] muru1113: 普通
[2:08:57] kousei0315: 俺は好き
[2:08:58] hotaru_0309: 好きだよ
[2:09:03] gomimusi0123: 好き
[2:09:17] Tsutaya_gap: 好き
[2:09:18] ish12213: 好き
[2:09:20] あずまっくす: 時と場合によるかなぁ
[2:09:26] 299taitaimon: 緑いてこその青鬼
[2:09:36] milololon: それな
[2:09:40] あずまっくす: それは思う
[2:09:44] kousei0315: 運営陣普通に良い奴だよねぇ！らだお以外
[2:09:55] hotaru_0309: 運営好き
[2:10:04] nekotori222: みんなに好かれててミドリクソ幸せ者
[2:10:04] tiroru0125: どっちかとゆうと人としては、ダメだけど運営人ととしては、あってはならない存在
[2:10:09] Tsutaya_gap: 他の人巻き込んでしまったときはあかんなとは思う
[2:10:12] mizu_marioshi: らだおって誰だよ（唐突）
[2:10:17] kousei0315: らっだぁ
[2:10:28] あずまっくす: ミドリクンは見てては面白いけど自分がされるのは嫌かなぁ
[2:10:31] Tsutaya_gap: らっだぁにだけなら面白くて良い
[2:10:31] tiroru0125: そうだお
[2:10:33] milololon: あっ
[2:10:39] muru1113: え
[2:10:39] でどすた: え？
[2:10:45] tiroru0125: ？
[2:10:45] hotaru_0309: ま？
[2:10:48] mugnum0109new: あと何分？
[2:10:54] tiroru0125: よくね
[2:11:19] 299taitaimon: えふやん見てくるわ
[2:11:20] tiroru0125: 人気だからね
[2:11:23] muru1113: てら
[2:11:27] tiroru0125: い
[2:11:30] hotaru_0309: てらー
[2:11:30] あずまっくす: てらー
[2:11:35] milololon: いてらー
[2:11:37] yosumin874: てらー
[2:11:46] kousei0315: 最近自分的にハマってる美味しい食べ物飲み物ってある？
[2:11:59] tiroru0125: 今ワイルド・スピードがある
[2:12:10] kousei0315: なんでも良いよ
[2:12:10] 299taitaimon: らっだぁさん今日は相談に乗ってくださり有難うございました。またよろしくお願いします
[2:12:15] tiroru0125: ピザ(*^^*)ポッテ
[2:12:30] tiroru0125: と
[2:12:35] hotaru_0309: 笹団子
[2:12:45] tiroru0125: レットぶる＝
[2:12:48] ぐれんぷ: スプラ発売まで
[2:12:53] kousei0315: なるほど…俺はセブンイレブンのコロッケパンハマってる
[2:13:06] でどすた: ジンジャーエールうまいよ
[2:13:12] tiroru0125: あ～～～～わかる
[2:13:16] kousei0315: 暖めないとパサパサだけど
[2:13:37] milololon: 怖いよ
[2:13:45] でどすた: 俺が無理だわ
[2:13:55] あずまっくす: 個人的にはヤマサキのホワイトデニッシュかなー
[2:13:56] milololon: びびりながらやってる
[2:14:06] yosumin874: たぶんリスナーの耳が4ぬ
[2:14:25] tiroru0125: 質問、スイッチってタブレットとでも使えるの？
[2:14:26] kousei0315: ミスドの奴のポンデリングは至高
[2:14:30] hotaru_0309: セブンはおでんがおいしい
[2:14:41] tiroru0125: それどんなゲームなの？
[2:14:47] susi0101: 水曜の配信の見れないんだけどなんで？
[2:14:51] でどすた: セブンなら煮卵のおにぎりオススメ
[2:14:57] kousei0315: わかる
[2:15:06] あずまっくす: ミスドはゴールデンチョコレート一択
[2:15:09] muru1113: いつまでやるん？
[2:15:13] tiroru0125: 見れた
[2:15:19] milololon: ホラーゲーム。ビデオカメラだけが頼り
[2:15:20] あずまっくす: 見れたよ
[2:15:20] kousei0315: ポンデリングだから(譲れない)
[2:15:35] milololon: グロい表現が多い
[2:15:36] hotaru_0309: ポンデリング好き
[2:15:44] yosumin874: ミスドはポンデリングが一番好き
[2:15:45] tiroru0125: マックなにたのむ？
[2:15:46] kousei0315: 分かってんじゃん
[2:15:46] susi0101: 火曜のも見れないけど
[2:16:01] kousei0315: エッグマフィン
[2:16:08] でどすた: ドーナツはポンデかフレンチクルーわ
[2:16:10] ish12213: 消すってらだが言ってたよ
[2:16:13] あずまっくす: むむ(;￣ー￣A
[2:16:21] ish12213: 見れないやつ
[2:16:41] tiroru0125: 俺はチキンフィレオ
[2:16:44] あずまっくす: マックはチキンフィレオ
[2:16:46] susi0101: ありがとうございます
[2:16:48] muru1113: 草
[2:16:58] hotaru_0309: テリヤキすき
[2:17:04] milololon: 草
[2:17:28] tiroru0125: azmaxさん気が合いますね
[2:17:29] milololon: ボーダーは太って見えるよ
[2:17:29] kousei0315: マックのポテトって食ってたら飽きてこない？
[2:17:35] エビル: こっちでもコメントー
[2:17:35] muru1113: 青緑
[2:17:48] あずまっくす: チキンフィレオはいつも頼むで～
[2:17:54] tiroru0125: 最初はすごく食べたいけど
[2:17:55] Ryuuuuukisi: 鎖骨やろ
[2:17:56] milololon: いいよ
[2:18:01] tiroru0125: おれも
